(1, 1, null, null, ../../assets/recipe-icons/bronze-ingot.png, Bronze Ingot, 1, Copper Ore, 2, Tin Ore, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(2, 1, 8, null, ../../assets/recipe-icons/bronze-hatchet.png, Bronze Hatchet, 1, Bronze Ingot, 1, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(3, 2, 5, null, ../../assets/recipe-icons/bronze-bastard-sword.png, Bronze Bastard Sword, 1, Bronze Ingot, 1, Maple Lumber, 1, Bone Chip, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(4, 2, 5, null, ../../assets/recipe-icons/amateur's-file.png, Amateur's File, 1, Bronze Ingot, 2, Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(5, 3, null, null, ../../assets/recipe-icons/bronze-rivets.png, Bronze Rivets, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, null, null, Fire Shard, 1, null, null),
(6, 3, 5, null, ../../assets/recipe-icons/bronze-war-axe.png, Bronze War Axe, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(7, 3, 5, null, ../../assets/recipe-icons/amateur's-pliers.png, Amateur's Pliers, 1, Bronze Ingot, 1, Bronze Rivets, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(8, 4, 8, null, ../../assets/recipe-icons/bronze-saw.png, Bronze Saw, 1, Bronze Ingot, 1, Bronze Rivets, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(9, 4, 5, null, ../../assets/recipe-icons/amateur's-awl.png, Amateur's Awl, 1, Bronze Ingot, 1, Maple Lumber, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(10, 5, 5, null, ../../assets/recipe-icons/bronze-daggers.png, Bronze Daggers, 1, Bronze Ingot, 2, Maple Lumber, 1, Bone Chip, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(11, 5, 5, null, ../../assets/recipe-icons/amateur's-claw-hammer.png, Amateur's Claw Hammer, 1, Bronze Ingot, 1, Maple Lumber, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(12, 5, 8, null, ../../assets/recipe-icons/bronze-cross-pein-hammer.png, Bronze Cross-pein Hammer, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(13, 5, 8, null, ../../assets/recipe-icons/bronze-doming-hammer.png, Bronze Doming Hammer, 1, Bronze Ingot, 1, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(14, 6, 5, null, ../../assets/recipe-icons/amateur's-mortar.png, Amateur's Mortar, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(15, 6, 5, null, ../../assets/recipe-icons/amateur's-culinary-knife.png, Amateur's Culinary Knife, 1, Bronze Ingot, 1, Maple Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(16, 7, 7, null, ../../assets/recipe-icons/viking-sword.png, Viking Sword, 1, Bronze Ingot, 1, Leather, 1, Bone Chip, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(17, 7, 8, null, ../../assets/recipe-icons/bronze-labrys.png, Bronze Labrys, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(18, 7, 8, null, ../../assets/recipe-icons/bronze-chaser-hammer.png, Bronze Chaser Hammer, 1, Bronze Ingot, 1, Bronze Rivets, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(19, 8, 8, null, ../../assets/recipe-icons/bronze-knives.png, Bronze Knives, 1, Bronze Ingot, 2, Maple Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(20, 8, 8, null, ../../assets/recipe-icons/bronze-head-knife.png, Bronze Head Knife, 1, Bronze Ingot, 1, Maple Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(21, 8, 8, null, ../../assets/recipe-icons/bronze-pickaxe.png, Bronze Pickaxe, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Maple Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(22, 9, 10, null, ../../assets/recipe-icons/cloud-axe.png, Cloud Axe, 1, Bronze War Axe, 1, Bronze Ingot, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(23, 9, 11, null, ../../assets/recipe-icons/bronze-claw-hammer.png, Bronze Claw Hammer, 1, Bronze Ingot, 1, Maple Lumber, 1, Fish Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(24, 10, 10, null, ../../assets/recipe-icons/bronze-baselards.png, Bronze Baselards, 1, Bronze Ingot, 2, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(25, 10, 11, null, ../../assets/recipe-icons/amateur's-cross-pein-hammer.png, Amateur's Cross-pein Hammer, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(26, 10, 11, null, ../../assets/recipe-icons/bronze-file.png, Bronze File, 1, Bronze Ingot, 2, Hard Leather, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(27, 10, 11, null, ../../assets/recipe-icons/bronze-pliers.png, Bronze Pliers, 1, Bronze Ingot, 1, Bronze Rivets, 1, Clove Oil, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(28, 10, 11, null, ../../assets/recipe-icons/amateur's-chaser-hammer.png, Amateur's Chaser Hammer, 1, Bronze Ingot, 1, Bronze Rivets, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(29, 10, 11, null, ../../assets/recipe-icons/bronze-mortar.png, Bronze Mortar, 1, Bronze Ingot, 2, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(30, 11, 11, null, ../../assets/recipe-icons/amateur's-doming-hammer.png, Amateur's Doming Hammer, 1, Bronze Ingot, 1, Ash Lumber, 1, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(31, 11, 11, null, ../../assets/recipe-icons/amateur's-head-knife.png, Amateur's Head Knife, 1, Bronze Ingot, 1, Ash Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(32, 11, 11, null, ../../assets/recipe-icons/bronze-awl.png, Bronze Awl, 1, Bronze Ingot, 1, Ash Lumber, 1, Jellyfish Humours, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(33, 11, 11, null, ../../assets/recipe-icons/amateur's-pickaxe.png, Amateur's Pickaxe, 1, Bronze Ingot, 1, Undyed Hempen Cloth, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(34, 11, 11, null, ../../assets/recipe-icons/bronze-scythe.png, Bronze Scythe, 1, Bronze Ingot, 1, Ash Lumber, 1, Ragstone Whetstone, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(35, 12, 12, null, ../../assets/recipe-icons/amateur's-saw.png, Amateur's Saw, 1, Bronze Ingot, 1, Bronze Rivets, 1, Ash Lumber, 1, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
(36, 12, 14, null, ../../assets/recipe-icons/bronze-ornamental-hammer.png, Bronze Ornamental Hammer, 1, Amateur's Chaser Hammer, 1, Bronze Rivets, 2, null, null, null, null, null, null, null, null, Fire Shard, 1, Earth Shard, 1),
